Feature,Importance
current_liabilities,0.0007086142177490339
operating_cash_flow,0.0005469720109514253
short_term_debt,0.000478748994400615
total_assets,0.00039378743409322625
tangible_fixed_assets,0.00030298663945140143
owners_equity,0.0003021939060821755
capex,0.0003008887056348015
gross_profit,0.00029216225283272383
depreciation,0.0002696165236987808
inventory,0.0002663561916633264
operating_profit,0.0002587820614173286
long_term_debt,0.00024077054054691925
cash,0.00023553537755889066
sales,0.00017853032521836058
net_profit,0.0001444947699435397
interest_expenses,0.00012616286200401589
dividends_paid,0.00011823324669436516
outstanding_shares,0.00011704899307651492
selling_expenses,0.00011700068106245548
returns,0.00011467263123874326
leverage,0.00011280347222278504
stock_price,0.00010031616651706363
market_cap,7.67860031422006e-05
VNI,7.480329437801504e-05
current_assets,7.042157031495085e-05
quick_ratio,6.742616094963967e-05
admin_expenses,2.9036957424007775e-05
current_ratio,2.885535915257871e-05
company_age,2.5740069206546534e-05
total_liabilities,2.5452460137629848e-05
equity_repurchase,5.06175765155846e-06
short_term_receivables,-4.181854733938811e-06
roa,-6.751316174365488e-06
profit_after_tax_parent,-1.788090742049428e-05
volume_m,-1.893344634278267e-05
equity_issue,-3.160413752582858e-05
roe,-3.94056402247666e-05
