,Ridge,RF (min_leaf=5),RF (max_leaf=5),RF (max_depth=3),FNN,Mean_Importance
VNI,0.5743548438310725,1.0,1.0,1.0,0.10556279073207607,0.7359835269126298
stock_price,1.0,0.16267517853605698,0.0,0.0006697469577301955,0.14156668608163894,0.2609823223150852
current_liabilities,0.007146075619650286,0.016721510593429464,0.0,0.0001896869370857291,1.0,0.2048114546300331
operating_cash_flow,0.018128563757402016,0.055362950517488956,0.0,0.00747893112278329,0.7718896929402896,0.17057202766759277
returns,0.20381684692633598,0.24679601917461413,0.002918814395648178,0.13468317255151227,0.16182660235495905,0.15000829108061392
short_term_debt,0.025021752938459634,0.03202674858857637,0.0,0.000510510496569811,0.6756130238557688,0.14663440717587492
capex,0.1304019497096132,0.04465144819449369,0.0,0.0,0.42461567676499207,0.11993381493381979
total_assets,0.005866949719146986,0.017427954707531886,0.0,0.00039885108895416953,0.5557148364086195,0.11588171838485051
leverage,0.3300465117309031,0.06458121391339182,0.0019674262144656124,0.006245869368043131,0.1591888356137049,0.11240597136810171
owners_equity,0.08729008820871542,0.028301670935585447,0.0,0.00021925205081259772,0.42645758229649566,0.10845371869832184
inventory,0.11600960314622084,0.03557686096567919,0.0,0.0,0.37588321683613235,0.10549393618960648
gross_profit,0.043356723463595655,0.031494408232469635,0.0,0.0012976229670716053,0.4123008620414068,0.09768992334090873
tangible_fixed_assets,0.0,0.03645242139813729,0.0,0.0002705674556852728,0.4275762916723026,0.09285985610522504
depreciation,0.052235395744396555,0.029198745994018786,0.0,0.0011585914038031453,0.38048421404136923,0.09261538943671754
operating_profit,0.04128419233568106,0.02483956896245403,0.0,0.0038315048520484213,0.36519456558375196,0.08702996634678709
sales,0.12508654153050314,0.04130591176978673,0.0,0.003487876337039529,0.25194290595166935,0.08436464711779976
long_term_debt,0.04706823220878624,0.031958882638683225,0.0,0.0,0.3397766154223449,0.08376074605396286
market_cap,0.22665246564422029,0.05369553984710773,0.0,0.0006737766136346329,0.10836079945744963,0.07787651631248246
cash,0.006464983264970442,0.043200614642734184,0.0,0.0001978786594715609,0.33238872669967934,0.0764504406533711
dividends_paid,0.15161987238060476,0.02663947213611107,0.0,0.0,0.16685136105502077,0.06902214111434732
selling_expenses,0.14270205982314627,0.03574225831930968,0.0,0.0004502043304285434,0.165111958145741,0.0688012961237251
roe,0.2685381111455052,0.050675147973215436,0.001514802580080303,0.0017527112341033334,0.0,0.06449615458658084
net_profit,0.06287838426763458,0.018919074316026106,0.0,0.0007836675373537207,0.203911756671406,0.05729857655848408
company_age,0.20435952510724423,0.030324471162007934,0.0,0.001451919229216382,0.03632451701055589,0.054492086501804884
interest_expenses,0.027964604067342087,0.030547656378280004,0.0,0.0,0.17804167464319537,0.04731078701776349
outstanding_shares,0.03168074540507192,0.02528106691788561,0.0,0.0,0.16518013630650796,0.044428389725893094
admin_expenses,0.1181332333397287,0.039506379707269744,0.0,0.0,0.040977102486379466,0.03972334310667558
volume_m,0.05589124215634607,0.13085699084063168,0.0,0.0025948807636984508,0.0,0.03786862275213524
roa,0.12544546494372924,0.05009945702140944,0.0,0.0,0.0,0.03510898439302774
short_term_receivables,0.13728106584924937,0.030090553695320214,0.0,0.00029178522919959845,0.0,0.033532680954753834
quick_ratio,0.0012131669674966645,0.04403337902357052,0.0,0.0040271967478362515,0.09515214239395862,0.028885177026572412
current_assets,0.019584971923779778,0.017909712219735408,0.0,0.0,0.09937927937524348,0.027374792703751732
equity_issue,0.09693645164455877,0.008931313471971873,0.0,0.0,0.0,0.02117355302330613
current_ratio,0.018711322342014936,0.03817618397112268,0.0,0.00015525795162505304,0.04072083007908015,0.019552718868768564
total_liabilities,0.026341561793713365,0.017587057808225892,0.0,0.0002413481878695294,0.03591864162489075,0.016017721882939907
equity_repurchase,0.04361838772781074,0.0,0.0,0.0,0.007143178226987193,0.010152313190959586
profit_after_tax_parent,0.011067374816457741,0.021511077450540244,0.0,0.0007164914929853819,0.0,0.0066589887519966735
