n_estimators,max_depth,min_samples_leaf,Val_MSE,Val_MAE,Val_R2,Val_R2_OOS,Val_Corr,Split
200,5.0,10,0.02613513471462268,0.10930291604361082,0.00865994917354651,0.013512730923870953,0.11866027315946288,Split_1
100,5.0,10,0.02615711274145221,0.10934979336868621,0.007826293695120556,0.012683156333822665,0.10468022455841836,Split_1
200,5.0,5,0.026168427482643055,0.10935686737615744,0.007397110672736962,0.01225607423688535,0.10384174366072269,Split_1
100,5.0,5,0.026229236379417646,0.10942622609420372,0.005090549199935568,0.009960803783156336,0.08087215816684704,Split_1
50,5.0,10,0.026235865171514876,0.10946920523860962,0.00483911039289131,0.009710595812749023,0.07818506038802825,Split_1
200,5.0,2,0.026270508988130686,0.10952287589092574,0.0035250248410183538,0.008402942937916658,0.06564876922264423,Split_1
50,5.0,5,0.02630342686837491,0.10951583537349682,0.0022764063268712054,0.00716043662828858,0.0590579472893126,Split_1
100,5.0,2,0.026321817444275173,0.10960343281175507,0.0015788275829019538,0.006466272653444571,0.0503655264579246,Split_1
200,,10,0.026364473564178113,0.10947316885674353,-3.9175176004047074e-05,0.004856190299099894,0.08297677782570798,Split_1
200,3.0,10,0.02637047504619673,0.10944530358565267,-0.0002668192862922414,0.004629660546274672,0.042423100543655765,Split_1
200,3.0,5,0.026383914952399966,0.10940175561989808,-0.000776612614090233,0.004122362745370256,0.03792129975427887,Split_1
50,3.0,10,0.02638612183040125,0.10937310852369127,-0.0008603224006993315,0.004039062732707599,0.041009969302231476,Split_1
100,3.0,10,0.0263924614321636,0.10942956664829145,-0.0011007918377974324,0.0037997704352750183,0.038185547743339654,Split_1
100,,10,0.026392825724463415,0.1096109416282444,-0.0011146099240999519,0.0037860199909052206,0.08305948457435888,Split_1
200,3.0,2,0.026395624452736695,0.10936546608833043,-0.00122076937033877,0.0036803802135961794,0.034054801856556835,Split_1
100,3.0,5,0.02640961187032606,0.10937867682719125,-0.0017513305254803768,0.0031524162474705353,0.03372316509506027,Split_1
50,3.0,5,0.026410396000969397,0.10936485844403335,-0.001781073632616037,0.003122818738010791,0.0330220371245123,Split_1
50,5.0,2,0.02641515235582686,0.10979335043778064,-0.0019614884312244563,0.002943287101180747,0.028161746307960835,Split_1
50,3.0,2,0.026416277107355987,0.1093671713637316,-0.0020041517367794803,0.00290083263991725,0.029755082085957302,Split_1
100,3.0,2,0.026417421370420552,0.10936735737680742,-0.0020475551405489956,0.002857641703348679,0.02987381127268142,Split_1
50,,10,0.026425494543421673,0.10965091901418048,-0.0023537812159319937,0.0025529146577980555,0.08355296475094953,Split_1
200,2.0,5,0.026574579072932383,0.10888626857857732,-0.00800875359990405,-0.0030743756540529965,,Split_1
200,2.0,2,0.026574579072932383,0.10888626857857732,-0.00800875359990405,-0.0030743756540529965,,Split_1
200,2.0,10,0.026574579072932383,0.10888626857857732,-0.00800875359990405,-0.0030743756540529965,,Split_1
100,2.0,2,0.02657741305088367,0.10888390105871108,-0.008116250112814694,-0.0031813459528602372,,Split_1
100,2.0,5,0.02657741305088367,0.10888390105871108,-0.008116250112814694,-0.0031813459528602372,,Split_1
100,2.0,10,0.02657741305088367,0.10888390105871108,-0.008116250112814694,-0.0031813459528602372,,Split_1
50,2.0,10,0.026577782604831388,0.10888359479390718,-0.008130267780345868,-0.0031952950014737524,,Split_1
50,2.0,2,0.026577782604831388,0.10888359479390718,-0.008130267780345868,-0.0031952950014737524,,Split_1
50,2.0,5,0.026577782604831388,0.10888359479390718,-0.008130267780345868,-0.0031952950014737524,,Split_1
100,,5,0.0265807755412948,0.11011140341069629,-0.008243793798794252,-0.003308265290341783,0.0765118520414624,Split_1
200,,5,0.026619293591775204,0.11019933903443925,-0.009704834139237173,-0.004762153584527029,0.06835508488454205,Split_1
50,,5,0.02677432859545456,0.11040405009568871,-0.015585515838627106,-0.010614048325489955,0.06687030714322684,Split_1
100,,2,0.027171404569182885,0.11193571361035334,-0.030647130032548375,-0.025601933301641955,0.04294517911221501,Split_1
200,,2,0.027213643308331877,0.11204928992828772,-0.0322493009902276,-0.027196261354176965,0.039489872549821656,Split_1
50,,2,0.027353550511241553,0.11208224306063991,-0.03755616529982175,-0.03247714764114251,0.03920381333861064,Split_1
50,2.0,2,0.020074522466304284,0.10436760228371432,-0.048864132681978756,0.005691887677635177,,Split_2
50,2.0,5,0.020074522466304284,0.10436760228371432,-0.048864132681978756,0.005691887677635177,,Split_2
50,2.0,10,0.020074522466304284,0.10436760228371432,-0.048864132681978756,0.005691887677635177,,Split_2
100,2.0,5,0.020081982060795263,0.10439760898742002,-0.049253885470324166,0.005322407639967164,,Split_2
100,2.0,10,0.020081982060795263,0.10439760898742002,-0.049253885470324166,0.005322407639967164,,Split_2
100,2.0,2,0.020081982060795263,0.10439760898742002,-0.049253885470324166,0.005322407639967164,,Split_2
200,2.0,10,0.020097436270249312,0.10445969015999819,-0.05006134507602655,0.004556947547181167,,Split_2
200,2.0,5,0.020097436270249312,0.10445969015999819,-0.05006134507602655,0.004556947547181167,,Split_2
200,2.0,2,0.020097436270249312,0.10445969015999819,-0.05006134507602655,0.004556947547181167,,Split_2
50,3.0,10,0.02053020600324901,0.10615433542424556,-0.0726729240770041,-0.016878504131007555,-0.17049813314512513,Split_2
50,3.0,5,0.02053020600324901,0.10615433542424556,-0.0726729240770041,-0.016878504131007555,-0.1704981331451251,Split_2
50,3.0,2,0.02053020600324901,0.10615433542424556,-0.0726729240770041,-0.016878504131007555,-0.17049813314512513,Split_2
100,3.0,10,0.020538557492331168,0.106187940894095,-0.07310927703969416,-0.017292160463719952,-0.17049813314512513,Split_2
100,3.0,2,0.020538557492331168,0.106187940894095,-0.07310927703969416,-0.017292160463719952,-0.1704981331451251,Split_2
100,3.0,5,0.02053855749233117,0.106187940894095,-0.07310927703969439,-0.017292160463720174,-0.17049813314512505,Split_2
200,3.0,2,0.02055337471018391,0.10624533787685493,-0.07388345477557623,-0.018026069822598023,-0.17049813314512519,Split_2
200,3.0,10,0.02055337471018391,0.10624533787685493,-0.07388345477557623,-0.018026069822598023,-0.17049813314512516,Split_2
200,3.0,5,0.02055337471018391,0.10624533787685493,-0.07388345477557623,-0.018026069822598023,-0.17049813314512519,Split_2
200,5.0,5,0.02153121448865517,0.10957474544449279,-0.12497413814648728,-0.06645930283810153,-0.026188787060312198,Split_2
200,5.0,10,0.021531675018342807,0.10955391257942532,-0.1249982001420944,-0.06648211326386133,-0.027001169710693922,Split_2
100,5.0,2,0.021532667346453614,0.10963685647897235,-0.1250500478194192,-0.06653126411625765,-0.027709528620362286,Split_2
100,5.0,10,0.021542243290992257,0.10961590869325118,-0.12555037677020708,-0.06700556876554131,-0.023371254048323235,Split_2
200,5.0,2,0.021543138041443786,0.10963160520154523,-0.12559712615903496,-0.06704988651376942,-0.03566425966862456,Split_2
100,5.0,5,0.02154409982863468,0.10965147142729259,-0.1256473781184273,-0.06709752464851637,-0.025605455449630984,Split_2
50,5.0,10,0.021565007471477604,0.1097056803834657,-0.12673977155960015,-0.06813309791922073,0.0043201461531130365,Split_2
50,5.0,5,0.021585382564938558,0.10976598567727273,-0.12780434008256814,-0.0691422935676631,0.0026446354490585167,Split_2
50,5.0,2,0.021612296938111647,0.10983974325793325,-0.12921057630672994,-0.070475385282746,-0.006340510258544037,Split_2
200,,10,0.02428854951276018,0.11813044537868653,-0.26904081835897964,-0.20303244361692352,0.10683848166599773,Split_2
100,,10,0.02440790957350317,0.11848364491947519,-0.275277205142187,-0.20894444859154992,0.10366576896724612,Split_2
50,,10,0.02466501200848366,0.11902192940609699,-0.2887104274232588,-0.22167895010848682,0.10133463425037899,Split_2
200,,5,0.02471972581883793,0.11940257495384611,-0.2915691431580558,-0.22438897150912696,0.10585902201258257,Split_2
100,,5,0.02478917807831546,0.11932843097819618,-0.2951979210790239,-0.2278290007867123,0.10660899899709567,Split_2
50,,5,0.024983221501851272,0.11984883561854687,-0.3053364032008854,-0.23744013601985747,0.10910234403122016,Split_2
200,,2,0.025323720343909634,0.12070899147202528,-0.323126964508345,-0.2543053322636677,0.09486747442293629,Split_2
100,,2,0.025489446057583808,0.1210506320194705,-0.33178588813792254,-0.26251386732612003,0.09457598321210796,Split_2
50,,2,0.0257091561656928,0.1215861572723988,-0.3432654165984381,-0.2733962952004909,0.10660878002296124,Split_2
100,5.0,2,0.011463482711626834,0.07750821675350232,0.0362160426849194,0.043246156854895745,0.26523687566551635,Split_3
200,5.0,2,0.011468058805652902,0.0775241173438327,0.03583131091356895,0.042864231426457344,0.2652408315599063,Split_3
50,5.0,2,0.01147104634320594,0.07751424130033549,0.03558013587035325,0.042614888525411176,0.2654115341852458,Split_3
200,5.0,5,0.011490493174608714,0.07761182506519529,0.03394515768806006,0.04099183633877257,0.26507831215021377,Split_3
100,5.0,5,0.01149210074448292,0.07762076869003051,0.03381000242207355,0.040857666933718284,0.2649352747775042,Split_3
200,5.0,10,0.01149263067162004,0.07761919889734728,0.033765449184096075,0.0408134386797242,0.26505480198997916,Split_3
100,5.0,10,0.011496603312771228,0.07763560222674759,0.03343145227355837,0.04048187803760095,0.26489175915048047,Split_3
50,5.0,10,0.011504266565106372,0.07766153589213155,0.03278716991650654,0.03984229525921856,0.2649336109245349,Split_3
50,5.0,5,0.011504266565106372,0.07766153589213155,0.03278716991650654,0.03984229525921856,0.2649336109245348,Split_3
100,3.0,10,0.011945471978419464,0.08035698149534773,-0.004306853769719288,0.003018845926880398,,Split_3
100,3.0,5,0.011945471978419464,0.08035698149534773,-0.004306853769719288,0.003018845926880398,,Split_3
100,3.0,2,0.011946022923429096,0.08035721109841054,-0.004353174070015786,0.002972863500022349,,Split_3
200,3.0,10,0.011947070978106758,0.08035764805331891,-0.004441288503485019,0.002885391798280068,,Split_3
200,3.0,5,0.011947070978106758,0.08035764805331891,-0.004441288503485019,0.002885391798280068,,Split_3
